ts_utc,series,value_mw,fetched_at_utc
2026-08-18 09:05:33,WIND GENERATION,26584,2026-08-18 09:41:26
2026-08-18 09:08:02,HYDRO GENERATION,26111,2026-08-18 09:41:26
2026-08-18 09:08:02,WIND GENERATION,26842,2026-08-18 09:41:26
2026-08-18 09:08:02,SOLAR GENERATION,62825,2026-08-18 09:41:26
2026-08-18 09:08:02,THERMAL GENERATION,117240,2026-08-18 09:41:26
2026-08-18 09:08:02,NUCLEAR GENERATION,4992,2026-08-18 09:41:26
2026-08-18 09:08:02,GAS GENERATION,1829,2026-08-18 09:41:26
2026-08-18 09:11:33,NUCLEAR GENERATION,5002,2026-08-18 09:41:26
2026-08-18 09:11:33,SOLAR GENERATION,62386,2026-08-18 09:41:26
2026-08-18 09:11:33,WIND GENERATION,26894,2026-08-18 09:41:26
2026-08-18 09:11:33,GAS GENERATION,1829,2026-08-18 09:41:26
2026-08-18 09:11:33,HYDRO GENERATION,25995,2026-08-18 09:41:26
2026-08-18 09:11:33,THERMAL GENERATION,117816,2026-08-18 09:41:26
2026-08-18 09:15:33,NUCLEAR GENERATION,4993,2026-08-18 09:41:26
2026-08-18 09:15:33,WIND GENERATION,26900,2026-08-18 09:41:26
2026-08-18 09:15:33,SOLAR GENERATION,62333,2026-08-18 09:41:26
2026-08-18 09:15:33,HYDRO GENERATION,26037,2026-08-18 09:41:26
2026-08-18 09:15:33,GAS GENERATION,1816,2026-08-18 09:41:26
2026-08-18 09:15:33,THERMAL GENERATION,118550,2026-08-18 09:41:26
2026-08-18 09:20:02,THERMAL GENERATION,118098,2026-08-18 09:41:26
